,TIC ID,TOI,RA,Dec,RA_deg,Dec_deg,TFOPWG Disposition,Master Priority,SG1A Priority,SG1B Priority,SG2 Priority,SG3 Priority,SG4 Priority,SG5 Priority,Teff (TOI),Orbital Period (TOI),Orbital Period (TOI) Unc.,J mag,J mag Unc.,H mag,H mag Unc.,K mag,K mag Unc.,Stellar Companion Separation,Stellar Companion Delta mag,Stellar Companion Observation date,Spectra?,NIRC2?,Best imaging contrast
75835,238959233,7523.01,05:15:29.06,39:19:33.99,78.87108333333333,39.32610833333334,PC,3,4,3,3,3,4,4,,4.6612817454622,8.0727488501e-06,12.367,0.02,12.181,0.023,12.094,0.021,0.356,1.5,2026-01-07,False,False,3.3
57759,105135774,3734.01,05:17:08.55,53:43:24.45,79.28562499999998,53.72345833333333,PC,3,4,4,3,3,4,4,4880.9,2.1411860354706,0.0002916828,12.376,0.02,11.975,0.023,11.852,0.022,0.193,1.2,2025-12-09,False,False,4.46
56148,139444326,2802.01,05:22:55.48,-21:57:20.47,80.73116666666665,-21.95568611111111,PC,3,4,3,3,3,4,4,5668.0,3.5266608,1.67e-05,10.905,0.025,10.591,0.026,10.501,0.023,0.602,3.0,2024-03-13,True,False,6.4
57668,417676091,3700.01,05:29:00.21,68:28:53.06,82.250875,68.48140555555555,PC,3,4,3,3,3,4,4,6166.0,4.4184428762716,0.0006177753,12.195,0.027,11.9,0.031,11.809,0.023,0.897,3.6,2022-12-25,True,False,4.6
56113,388934707,2774.01,05:35:58.28,-07:41:18.14,83.99283333333332,-7.688372222222222,PC,3,4,3,3,3,4,4,4926.5,4.4430866,1.01e-05,11.606,0.026,11.13,0.032,11.026,0.023,0.7791,2.6,2021-11-20,False,False,6.2
74984,19560484,6934.01,05:36:43.07,23:54:08.44,84.17945833333333,23.90234444444444,PC,3,4,3,3,3,4,4,5954.0,2.8398671,0.0002735,11.961,0.022,11.571,0.023,11.518,0.02,0.721,3.8,2024-10-28,False,False,5.2
57754,322160664,3729.01,05:46:22.62,59:31:18,86.59424999999999,59.52166666666667,PC,3,4,3,3,3,4,4,5051.3,8.1744382153094,0.00097445585,12.032,0.022,11.641,0.015,11.523,0.02,0.315,1.16,2025-02-05,True,False,
69098,76545118,5428.01,05:48:49.06,28:40:16.81,87.20441666666666,28.671336111111113,PC,3,4,3,3,3,4,4,8415.0,3.0343155,0.0001933,11.434,0.018,11.327,0.021,11.273,0.018,0.339,2.9,2022-12-12,True,False,5.9
56118,317417916,2781.01,05:51:16.9,-13:22:51.76,87.82041666666666,-13.381044444444445,PC,3,4,4,3,3,4,4,3868.0,2.7636665,9.1e-06,11.693,0.026,11.046,0.026,10.911,0.023,0.452,1.83,2024-03-13,True,False,5.7
61875,247906954,5125.01,05:51:48.6,15:52:55.36,87.95249999999997,15.882044444444444,PC,1,4,1,1,3,4,4,6710.0,5.909621,2.19e-05,8.547,0.023,8.373,0.024,8.299,0.017,0.427,4.21,2024-02-18,True,False,7.8
